CAEN Rev.2  (activitati ale economiei nationale), Clase de marime, Macroregiuni  regiuni de dezvoltare si judete, Ani, UM: Miliarde lei  lei RON  mii lei RON milioane lei RON (incepand cu 2005), Valoare
Total industrie  constructii  comert si alte servicii, Total, Bihor, Anul 2022, Milioane lei RON, 62790
Total industrie  constructii  comert si alte servicii, Total, Bihor, Anul 2023, Milioane lei RON, 67443
Total industrie  constructii  comert si alte servicii, Total, Bihor, Anul 2024, Milioane lei RON, 69357
Total industrie  constructii  comert si alte servicii, Total, Bistrita-Nasaud, Anul 2022, Milioane lei RON, 20403
Total industrie  constructii  comert si alte servicii, Total, Bistrita-Nasaud, Anul 2023, Milioane lei RON, 21568
Total industrie  constructii  comert si alte servicii, Total, Bistrita-Nasaud, Anul 2024, Milioane lei RON, 23303
Total industrie  constructii  comert si alte servicii, Total, Cluj, Anul 2022, Milioane lei RON, 108859
Total industrie  constructii  comert si alte servicii, Total, Cluj, Anul 2023, Milioane lei RON, 117694
Total industrie  constructii  comert si alte servicii, Total, Cluj, Anul 2024, Milioane lei RON, 128297
Total industrie  constructii  comert si alte servicii, Total, Maramures, Anul 2022, Milioane lei RON, 33238
Total industrie  constructii  comert si alte servicii, Total, Maramures, Anul 2023, Milioane lei RON, 34399
Total industrie  constructii  comert si alte servicii, Total, Maramures, Anul 2024, Milioane lei RON, 36417
Total industrie  constructii  comert si alte servicii, Total, Satu Mare, Anul 2022, Milioane lei RON, 28758
Total industrie  constructii  comert si alte servicii, Total, Satu Mare, Anul 2023, Milioane lei RON, 30934
Total industrie  constructii  comert si alte servicii, Total, Satu Mare, Anul 2024, Milioane lei RON, 27710
Total industrie  constructii  comert si alte servicii, Total, Salaj, Anul 2022, Milioane lei RON, 15530
Total industrie  constructii  comert si alte servicii, Total, Salaj, Anul 2023, Milioane lei RON, 16792
Total industrie  constructii  comert si alte servicii, Total, Salaj, Anul 2024, Milioane lei RON, 17604
Total industrie  constructii  comert si alte servicii, Total, Alba, Anul 2022, Milioane lei RON, 41890
Total industrie  constructii  comert si alte servicii, Total, Alba, Anul 2023, Milioane lei RON, 43686
Total industrie  constructii  comert si alte servicii, Total, Alba, Anul 2024, Milioane lei RON, 46034
Total industrie  constructii  comert si alte servicii, Total, Brasov, Anul 2022, Milioane lei RON, 84732
Total industrie  constructii  comert si alte servicii, Total, Brasov, Anul 2023, Milioane lei RON, 90965
Total industrie  constructii  comert si alte servicii, Total, Brasov, Anul 2024, Milioane lei RON, 92867
Total industrie  constructii  comert si alte servicii, Total, Covasna, Anul 2022, Milioane lei RON, 12261
Total industrie  constructii  comert si alte servicii, Total, Covasna, Anul 2023, Milioane lei RON, 11964
Total industrie  constructii  comert si alte servicii, Total, Covasna, Anul 2024, Milioane lei RON, 12795
Total industrie  constructii  comert si alte servicii, Total, Harghita, Anul 2022, Milioane lei RON, 18840
Total industrie  constructii  comert si alte servicii, Total, Harghita, Anul 2023, Milioane lei RON, 20291
Total industrie  constructii  comert si alte servicii, Total, Harghita, Anul 2024, Milioane lei RON, 21007
Total industrie  constructii  comert si alte servicii, Total, Mures, Anul 2022, Milioane lei RON, 64415
Total industrie  constructii  comert si alte servicii, Total, Mures, Anul 2023, Milioane lei RON, 57238
Total industrie  constructii  comert si alte servicii, Total, Mures, Anul 2024, Milioane lei RON, 61304
Total industrie  constructii  comert si alte servicii, Total, Sibiu, Anul 2022, Milioane lei RON, 60169
Total industrie  constructii  comert si alte servicii, Total, Sibiu, Anul 2023, Milioane lei RON, 65013
Total industrie  constructii  comert si alte servicii, Total, Sibiu, Anul 2024, Milioane lei RON, 61878
Total industrie  constructii  comert si alte servicii, Total, Bacau, Anul 2022, Milioane lei RON, 40706
Total industrie  constructii  comert si alte servicii, Total, Bacau, Anul 2023, Milioane lei RON, 46456
Total industrie  constructii  comert si alte servicii, Total, Bacau, Anul 2024, Milioane lei RON, 52421
Total industrie  constructii  comert si alte servicii, Total, Botosani, Anul 2022, Milioane lei RON, 12924
Total industrie  constructii  comert si alte servicii, Total, Botosani, Anul 2023, Milioane lei RON, 14774
Total industrie  constructii  comert si alte servicii, Total, Botosani, Anul 2024, Milioane lei RON, 15833
Total industrie  constructii  comert si alte servicii, Total, Iasi, Anul 2022, Milioane lei RON, 55492
Total industrie  constructii  comert si alte servicii, Total, Iasi, Anul 2023, Milioane lei RON, 59547
Total industrie  constructii  comert si alte servicii, Total, Iasi, Anul 2024, Milioane lei RON, 63020
Total industrie  constructii  comert si alte servicii, Total, Neamt, Anul 2022, Milioane lei RON, 25221
Total industrie  constructii  comert si alte servicii, Total, Neamt, Anul 2023, Milioane lei RON, 28018
Total industrie  constructii  comert si alte servicii, Total, Neamt, Anul 2024, Milioane lei RON, 28064
Total industrie  constructii  comert si alte servicii, Total, Suceava, Anul 2022, Milioane lei RON, 41054
Total industrie  constructii  comert si alte servicii, Total, Suceava, Anul 2023, Milioane lei RON, 40835
Total industrie  constructii  comert si alte servicii, Total, Suceava, Anul 2024, Milioane lei RON, 44133
Total industrie  constructii  comert si alte servicii, Total, Vaslui, Anul 2022, Milioane lei RON, 10921
Total industrie  constructii  comert si alte servicii, Total, Vaslui, Anul 2023, Milioane lei RON, 11844
Total industrie  constructii  comert si alte servicii, Total, Vaslui, Anul 2024, Milioane lei RON, 12589
Total industrie  constructii  comert si alte servicii, Total, Braila, Anul 2022, Milioane lei RON, 17023
Total industrie  constructii  comert si alte servicii, Total, Braila, Anul 2023, Milioane lei RON, 16791
Total industrie  constructii  comert si alte servicii, Total, Braila, Anul 2024, Milioane lei RON, 16066
Total industrie  constructii  comert si alte servicii, Total, Buzau, Anul 2022, Milioane lei RON, 33129
Total industrie  constructii  comert si alte servicii, Total, Buzau, Anul 2023, Milioane lei RON, 32978
Total industrie  constructii  comert si alte servicii, Total, Buzau, Anul 2024, Milioane lei RON, 34840
Total industrie  constructii  comert si alte servicii, Total, Constanta, Anul 2022, Milioane lei RON, 115999
Total industrie  constructii  comert si alte servicii, Total, Constanta, Anul 2023, Milioane lei RON, 112884
Total industrie  constructii  comert si alte servicii, Total, Constanta, Anul 2024, Milioane lei RON, 105127
Total industrie  constructii  comert si alte servicii, Total, Galati, Anul 2022, Milioane lei RON, 40084
Total industrie  constructii  comert si alte servicii, Total, Galati, Anul 2023, Milioane lei RON, 38070
Total industrie  constructii  comert si alte servicii, Total, Galati, Anul 2024, Milioane lei RON, 36452
Total industrie  constructii  comert si alte servicii, Total, Tulcea, Anul 2022, Milioane lei RON, 15353
Total industrie  constructii  comert si alte servicii, Total, Tulcea, Anul 2023, Milioane lei RON, 15587
Total industrie  constructii  comert si alte servicii, Total, Tulcea, Anul 2024, Milioane lei RON, 14973
Total industrie  constructii  comert si alte servicii, Total, Vrancea, Anul 2022, Milioane lei RON, 13925
Total industrie  constructii  comert si alte servicii, Total, Vrancea, Anul 2023, Milioane lei RON, 14937
Total industrie  constructii  comert si alte servicii, Total, Vrancea, Anul 2024, Milioane lei RON, 15868
Total industrie  constructii  comert si alte servicii, Total, Arges, Anul 2022, Milioane lei RON, 84002
Total industrie  constructii  comert si alte servicii, Total, Arges, Anul 2023, Milioane lei RON, 86072
Total industrie  constructii  comert si alte servicii, Total, Arges, Anul 2024, Milioane lei RON, 92024
Total industrie  constructii  comert si alte servicii, Total, Calarasi, Anul 2022, Milioane lei RON, 15966
Total industrie  constructii  comert si alte servicii, Total, Calarasi, Anul 2023, Milioane lei RON, 17163
Total industrie  constructii  comert si alte servicii, Total, Calarasi, Anul 2024, Milioane lei RON, 16394
Total industrie  constructii  comert si alte servicii, Total, Dambovita, Anul 2022, Milioane lei RON, 30119
Total industrie  constructii  comert si alte servicii, Total, Dambovita, Anul 2023, Milioane lei RON, 31431
Total industrie  constructii  comert si alte servicii, Total, Dambovita, Anul 2024, Milioane lei RON, 33782
Total industrie  constructii  comert si alte servicii, Total, Giurgiu, Anul 2022, Milioane lei RON, 14572
Total industrie  constructii  comert si alte servicii, Total, Giurgiu, Anul 2023, Milioane lei RON, 14808
Total industrie  constructii  comert si alte servicii, Total, Giurgiu, Anul 2024, Milioane lei RON, 16050
Total industrie  constructii  comert si alte servicii, Total, Ialomita, Anul 2022, Milioane lei RON, 16803
Total industrie  constructii  comert si alte servicii, Total, Ialomita, Anul 2023, Milioane lei RON, 14649
Total industrie  constructii  comert si alte servicii, Total, Ialomita, Anul 2024, Milioane lei RON, 13646
Total industrie  constructii  comert si alte servicii, Total, Prahova, Anul 2022, Milioane lei RON, 109591
Total industrie  constructii  comert si alte servicii, Total, Prahova, Anul 2023, Milioane lei RON, 106413
Total industrie  constructii  comert si alte servicii, Total, Prahova, Anul 2024, Milioane lei RON, 114088
Total industrie  constructii  comert si alte servicii, Total, Teleorman, Anul 2022, Milioane lei RON, 11398
Total industrie  constructii  comert si alte servicii, Total, Teleorman, Anul 2023, Milioane lei RON, 11681
Total industrie  constructii  comert si alte servicii, Total, Teleorman, Anul 2024, Milioane lei RON, 13082
Total industrie  constructii  comert si alte servicii, Total, Ilfov, Anul 2022, Milioane lei RON, 163915
Total industrie  constructii  comert si alte servicii, Total, Ilfov, Anul 2023, Milioane lei RON, 170987
Total industrie  constructii  comert si alte servicii, Total, Ilfov, Anul 2024, Milioane lei RON, 189322
Total industrie  constructii  comert si alte servicii, Total, Municipiul Bucuresti, Anul 2022, Milioane lei RON, 722597
Total industrie  constructii  comert si alte servicii, Total, Municipiul Bucuresti, Anul 2023, Milioane lei RON, 754210
Total industrie  constructii  comert si alte servicii, Total, Municipiul Bucuresti, Anul 2024, Milioane lei RON, 793835
Total industrie  constructii  comert si alte servicii, Total, Dolj, Anul 2022, Milioane lei RON, 62744
Total industrie  constructii  comert si alte servicii, Total, Dolj, Anul 2023, Milioane lei RON, 64955
Total industrie  constructii  comert si alte servicii, Total, Dolj, Anul 2024, Milioane lei RON, 69556
Total industrie  constructii  comert si alte servicii, Total, Gorj, Anul 2022, Milioane lei RON, 18379
Total industrie  constructii  comert si alte servicii, Total, Gorj, Anul 2023, Milioane lei RON, 19879
Total industrie  constructii  comert si alte servicii, Total, Gorj, Anul 2024, Milioane lei RON, 19488
Total industrie  constructii  comert si alte servicii, Total, Mehedinti, Anul 2022, Milioane lei RON, 11400
Total industrie  constructii  comert si alte servicii, Total, Mehedinti, Anul 2023, Milioane lei RON, 13646
Total industrie  constructii  comert si alte servicii, Total, Mehedinti, Anul 2024, Milioane lei RON, 12997
Total industrie  constructii  comert si alte servicii, Total, Olt, Anul 2022, Milioane lei RON, 27985
Total industrie  constructii  comert si alte servicii, Total, Olt, Anul 2023, Milioane lei RON, 28287
Total industrie  constructii  comert si alte servicii, Total, Olt, Anul 2024, Milioane lei RON, 29007
Total industrie  constructii  comert si alte servicii, Total, Valcea, Anul 2022, Milioane lei RON, 23780
Total industrie  constructii  comert si alte servicii, Total, Valcea, Anul 2023, Milioane lei RON, 24263
Total industrie  constructii  comert si alte servicii, Total, Valcea, Anul 2024, Milioane lei RON, 26122
Total industrie  constructii  comert si alte servicii, Total, Arad, Anul 2022, Milioane lei RON, 54566
Total industrie  constructii  comert si alte servicii, Total, Arad, Anul 2023, Milioane lei RON, 55645
Total industrie  constructii  comert si alte servicii, Total, Arad, Anul 2024, Milioane lei RON, 55105
Total industrie  constructii  comert si alte servicii, Total, Caras-Severin, Anul 2022, Milioane lei RON, 9639
Total industrie  constructii  comert si alte servicii, Total, Caras-Severin, Anul 2023, Milioane lei RON, 10063
Total industrie  constructii  comert si alte servicii, Total, Caras-Severin, Anul 2024, Milioane lei RON, 10687
Total industrie  constructii  comert si alte servicii, Total, Hunedoara, Anul 2022, Milioane lei RON, 23508
Total industrie  constructii  comert si alte servicii, Total, Hunedoara, Anul 2023, Milioane lei RON, 24216
Total industrie  constructii  comert si alte servicii, Total, Hunedoara, Anul 2024, Milioane lei RON, 24555
Total industrie  constructii  comert si alte servicii, Total, Timis, Anul 2022, Milioane lei RON, 113172
Total industrie  constructii  comert si alte servicii, Total, Timis, Anul 2023, Milioane lei RON, 124514
Total industrie  constructii  comert si alte servicii, Total, Timis, Anul 2024, Milioane lei RON, 125363
